trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 0.4319999999999996, 'e': 6.12806887199332e-06}",30,13,27.84383128816706,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.4299999999999996, 'e': 5.8216654283936535e-06}",20,10,22.448930508717062,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.4279999999999996, 'e': 5.53058215697397e-06}",25,17,16.880226981452715,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.4259999999999996, 'e': 5.254053049125272e-06}",25,11,24.335432734932223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.4239999999999996, 'e': 4.991350396669008e-06}",20,9,17.239057667991084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.4219999999999996, 'e': 4.7417828768355576e-06}",20,6,20.0961579595389,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.4199999999999996, 'e': 4.50469373299378e-06}",20,16,5.521153260131803,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.4179999999999996, 'e': 4.27945904634409e-06}",25,14,19.82951548481066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.4159999999999996, 'e': 4.065486094026886e-06}",20,3,26.716962798875397,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.4139999999999996, 'e': 3.862211789325541e-06}",20,13,13.01160789492944,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.4119999999999996, 'e': 3.6691011998592636e-06}",20,10,19.659322001349636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.4099999999999996, 'e': 3.4856461398663003e-06}",25,10,26.050412762370385,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.4079999999999996, 'e': 3.3113638328729855e-06}",25,13,22.40253795074558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
